login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
aneagoie,10776230,MDQ6VXNlcjEwNzc2MjMw,https://avatars.githubusercontent.com/u/10776230?v=4,,https://api.github.com/users/aneagoie,https://github.com/aneagoie,https://api.github.com/users/aneagoie/followers,https://api.github.com/users/aneagoie/following{/other_user},https://api.github.com/users/aneagoie/gists{/gist_id},https://api.github.com/users/aneagoie/starred{/owner}{/repo},https://api.github.com/users/aneagoie/subscriptions,https://api.github.com/users/aneagoie/orgs,https://api.github.com/users/aneagoie/repos,https://api.github.com/users/aneagoie/events{/privacy},https://api.github.com/users/aneagoie/received_events,User,public,False,1.0
ZhangMYihua,10578605,MDQ6VXNlcjEwNTc4NjA1,https://avatars.githubusercontent.com/u/10578605?v=4,,https://api.github.com/users/ZhangMYihua,https://github.com/ZhangMYihua,https://api.github.com/users/ZhangMYihua/followers,https://api.github.com/users/ZhangMYihua/following{/other_user},https://api.github.com/users/ZhangMYihua/gists{/gist_id},https://api.github.com/users/ZhangMYihua/starred{/owner}{/repo},https://api.github.com/users/ZhangMYihua/subscriptions,https://api.github.com/users/ZhangMYihua/orgs,https://api.github.com/users/ZhangMYihua/repos,https://api.github.com/users/ZhangMYihua/events{/privacy},https://api.github.com/users/ZhangMYihua/received_events,User,public,False,1.0
susanli2016,24217243,MDQ6VXNlcjI0MjE3MjQz,https://avatars.githubusercontent.com/u/24217243?v=4,,https://api.github.com/users/susanli2016,https://github.com/susanli2016,https://api.github.com/users/susanli2016/followers,https://api.github.com/users/susanli2016/following{/other_user},https://api.github.com/users/susanli2016/gists{/gist_id},https://api.github.com/users/susanli2016/starred{/owner}{/repo},https://api.github.com/users/susanli2016/subscriptions,https://api.github.com/users/susanli2016/orgs,https://api.github.com/users/susanli2016/repos,https://api.github.com/users/susanli2016/events{/privacy},https://api.github.com/users/susanli2016/received_events,User,public,False,1.0
thedaviddias,237229,MDQ6VXNlcjIzNzIyOQ==,https://avatars.githubusercontent.com/u/237229?v=4,,https://api.github.com/users/thedaviddias,https://github.com/thedaviddias,https://api.github.com/users/thedaviddias/followers,https://api.github.com/users/thedaviddias/following{/other_user},https://api.github.com/users/thedaviddias/gists{/gist_id},https://api.github.com/users/thedaviddias/starred{/owner}{/repo},https://api.github.com/users/thedaviddias/subscriptions,https://api.github.com/users/thedaviddias/orgs,https://api.github.com/users/thedaviddias/repos,https://api.github.com/users/thedaviddias/events{/privacy},https://api.github.com/users/thedaviddias/received_events,User,public,False,1.0
ange-yaghi,20446997,MDQ6VXNlcjIwNDQ2OTk3,https://avatars.githubusercontent.com/u/20446997?v=4,,https://api.github.com/users/ange-yaghi,https://github.com/ange-yaghi,https://api.github.com/users/ange-yaghi/followers,https://api.github.com/users/ange-yaghi/following{/other_user},https://api.github.com/users/ange-yaghi/gists{/gist_id},https://api.github.com/users/ange-yaghi/starred{/owner}{/repo},https://api.github.com/users/ange-yaghi/subscriptions,https://api.github.com/users/ange-yaghi/orgs,https://api.github.com/users/ange-yaghi/repos,https://api.github.com/users/ange-yaghi/events{/privacy},https://api.github.com/users/ange-yaghi/received_events,User,public,False,1.0
nayuki,672172,MDQ6VXNlcjY3MjE3Mg==,https://avatars.githubusercontent.com/u/672172?v=4,,https://api.github.com/users/nayuki,https://github.com/nayuki,https://api.github.com/users/nayuki/followers,https://api.github.com/users/nayuki/following{/other_user},https://api.github.com/users/nayuki/gists{/gist_id},https://api.github.com/users/nayuki/starred{/owner}{/repo},https://api.github.com/users/nayuki/subscriptions,https://api.github.com/users/nayuki/orgs,https://api.github.com/users/nayuki/repos,https://api.github.com/users/nayuki/events{/privacy},https://api.github.com/users/nayuki/received_events,User,public,False,1.0
stemmlerjs,6892666,MDQ6VXNlcjY4OTI2NjY=,https://avatars.githubusercontent.com/u/6892666?v=4,,https://api.github.com/users/stemmlerjs,https://github.com/stemmlerjs,https://api.github.com/users/stemmlerjs/followers,https://api.github.com/users/stemmlerjs/following{/other_user},https://api.github.com/users/stemmlerjs/gists{/gist_id},https://api.github.com/users/stemmlerjs/starred{/owner}{/repo},https://api.github.com/users/stemmlerjs/subscriptions,https://api.github.com/users/stemmlerjs/orgs,https://api.github.com/users/stemmlerjs/repos,https://api.github.com/users/stemmlerjs/events{/privacy},https://api.github.com/users/stemmlerjs/received_events,User,public,False,1.0
GrapheneOS,48847184,MDEyOk9yZ2FuaXphdGlvbjQ4ODQ3MTg0,https://avatars.githubusercontent.com/u/48847184?v=4,,https://api.github.com/users/GrapheneOS,https://github.com/GrapheneOS,https://api.github.com/users/GrapheneOS/followers,https://api.github.com/users/GrapheneOS/following{/other_user},https://api.github.com/users/GrapheneOS/gists{/gist_id},https://api.github.com/users/GrapheneOS/starred{/owner}{/repo},https://api.github.com/users/GrapheneOS/subscriptions,https://api.github.com/users/GrapheneOS/orgs,https://api.github.com/users/GrapheneOS/repos,https://api.github.com/users/GrapheneOS/events{/privacy},https://api.github.com/users/GrapheneOS/received_events,Organization,public,False,1.0
MylesBorins,498775,MDQ6VXNlcjQ5ODc3NQ==,https://avatars.githubusercontent.com/u/498775?v=4,,https://api.github.com/users/MylesBorins,https://github.com/MylesBorins,https://api.github.com/users/MylesBorins/followers,https://api.github.com/users/MylesBorins/following{/other_user},https://api.github.com/users/MylesBorins/gists{/gist_id},https://api.github.com/users/MylesBorins/starred{/owner}{/repo},https://api.github.com/users/MylesBorins/subscriptions,https://api.github.com/users/MylesBorins/orgs,https://api.github.com/users/MylesBorins/repos,https://api.github.com/users/MylesBorins/events{/privacy},https://api.github.com/users/MylesBorins/received_events,User,public,False,1.0
vsavkin,35996,MDQ6VXNlcjM1OTk2,https://avatars.githubusercontent.com/u/35996?v=4,,https://api.github.com/users/vsavkin,https://github.com/vsavkin,https://api.github.com/users/vsavkin/followers,https://api.github.com/users/vsavkin/following{/other_user},https://api.github.com/users/vsavkin/gists{/gist_id},https://api.github.com/users/vsavkin/starred{/owner}{/repo},https://api.github.com/users/vsavkin/subscriptions,https://api.github.com/users/vsavkin/orgs,https://api.github.com/users/vsavkin/repos,https://api.github.com/users/vsavkin/events{/privacy},https://api.github.com/users/vsavkin/received_events,User,public,False,1.0
